HUMIDITY,       PH,     RAIN,TEMPARATURE,        N,        P,        K
6,0.05,1023,31.36,0,0,28
4,0.03,1023,31.85,0,0,29
6,0.04,1023,31.36,0,0,29
3,0.03,1023,30.38,0,0,30
4,0.04,1023,31.36,0,0,30
7,0.07,1023,31.85,0,0,30
3,0.02,1023,31.36,0,0,29
4,0.11,1023,31.36,0,0,31
3,0.02,1023,31.36,0,0,29
4,0.08,1023,31.36,0,0,30
5,0.05,1023,31.36,0,0,28
3,0.1,1023,31.36,0,0,32
8,0.09,1023,31.85,0,0,30
3,0.11,1023,31.36,0,0,29
4,0.14,1023,31.36,0,0,29
6,0.14,1023,32.34,0,0,31
4,0.17,1023,31.36,0,0,29
4,0.42,1023,31.36,0,0,31
6,0.36,1023,31.36,0,0,30
4,0.19,1023,31.36,0,0,29
3,0.13,1023,31.36,0,0,28
4,0.16,1023,31.36,0,0,29
4,0.2,1023,31.85,0,0,28
3,0.16,1023,31.36,0,0,30
4,0.14,1023,31.36,0,0,31
4,0,1023,30.87,0,0,29
4,0.13,1023,31.85,0,0,29
3,0.08,1023,31.36,0,0,32
11,0.05,1023,31.36,0,0,28
3,0.05,1023,31.36,0,0,31
5,0,1023,31.85,0,0,30
0,0,1023,31.36,0,0,28
4,0,1023,31.36,0,0,29
5,0.03,1023,31.36,0,0,29
4,0,1023,31.85,0,0,29
4,0,1023,31.85,0,0,29
4,0,1023,31.36,0,0,28
3,0,1023,31.85,0,0,30
5,0.01,1023,31.36,0,0,28
8,0,1023,31.36,0,0,28
2,0,1023,31.85,0,0,29
5,0,1023,31.36,0,0,30
8,0,1023,31.36,0,0,29
5,0,1023,31.36,0,0,33
5,0,1023,31.36,0,0,30
2,0,1023,30.87,0,0,30
4,0,1023,31.36,0,0,30
1,0,1023,31.36,0,0,30
4,0,1023,31.85,0,0,29
2,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,28
4,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,29
5,0,1023,31.36,0,0,28
5,0,1023,31.85,0,0,30
5,0.02,1023,31.36,0,0,31
6,0,1023,31.36,0,0,30
2,0,1023,31.85,0,0,30
2,0.01,1023,31.36,0,0,31
5,0,1023,31.36,0,0,30
4,0,1023,32.34,0,0,27
3,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,30
5,0,1023,31.85,0,0,30
4,0,1023,31.36,0,0,29
5,0.02,1023,31.36,0,0,27
4,0,1023,31.36,0,0,30
4,0,1023,31.85,0,0,28
3,0.01,1023,31.36,0,0,29
3,0,1023,31.36,0,0,30
4,0,1023,30.87,0,0,28
6,0.02,1023,31.36,0,0,30
3,0,1023,31.36,0,0,29
6,0.03,1023,31.36,0,0,29
4,0.06,1023,32.34,0,0,28
